"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 17:14:39 CST 2022","Wed Jun 08 17:14:40 CST 2022","517","test","test_api","","","","价格包数据-广告渠道细分-时间对比",""
"passed","Wed Jun 08 17:15:18 CST 2022","Wed Jun 08 17:15:20 CST 2022","2076","test","test_api","","","","员工-总获客目标查询",""
"passed","Wed Jun 08 17:15:14 CST 2022","Wed Jun 08 17:15:15 CST 2022","888","test","test_api","","","","首页-top10素材",""
"failed","Wed Jun 08 17:13:51 CST 2022","Wed Jun 08 17:13:53 CST 2022","1621","test","test_api","","","","落地页数据",""
"failed","Wed Jun 08 17:13:42 CST 2022","Wed Jun 08 17:13:44 CST 2022","1803","test","test_api","","","","投手数据",""
"passed","Wed Jun 08 17:14:15 CST 2022","Wed Jun 08 17:14:16 CST 2022","620","test","test_api","","","","商品数据趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:32 CST 2022","Wed Jun 08 17:14:32 CST 2022","292","test","test_api","","","","派单买A数据-派单-期粒度",""
"passed","Wed Jun 08 17:15:33 CST 2022","Wed Jun 08 17:15:34 CST 2022","801","test","test_api","","","","素材分类维度-搜索",""
"passed","Wed Jun 08 17:15:23 CST 2022","Wed Jun 08 17:15:23 CST 2022","129","test","test_api","","","","员工-投手获客目标修改",""
"passed","Wed Jun 08 17:15:31 CST 2022","Wed Jun 08 17:15:32 CST 2022","1648","test","test_api","","","","素材大盘搜索",""
"passed","Wed Jun 08 17:15:25 CST 2022","Wed Jun 08 17:15:25 CST 2022","206","test","test_api","","","","商品数据搜索",""
"passed","Wed Jun 08 17:14:04 CST 2022","Wed Jun 08 17:14:06 CST 2022","1107","test","test_api","","","","投手数据时间对比",""
"passed","Wed Jun 08 17:15:52 CST 2022","Wed Jun 08 17:15:54 CST 2022","2249","test","test_api","","","","账号数据-指标对比-素材细分-日粒度",""
"passed","Wed Jun 08 17:15:45 CST 2022","Wed Jun 08 17:15:47 CST 2022","1660","test","test_api","","","","账号数据-指标对比-日粒度",""
"passed","Wed Jun 08 17:15:23 CST 2022","Wed Jun 08 17:15:24 CST 2022","196","test","test_api","","","","渠道数据搜索",""
"passed","Wed Jun 08 17:14:00 CST 2022","Wed Jun 08 17:14:01 CST 2022","624","test","test_api","","","","渠道趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:04 CST 2022","Wed Jun 08 17:14:04 CST 2022","669","test","test_api","","","","投手数据趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:32 CST 2022","Wed Jun 08 17:14:32 CST 2022","384","test","test_api","","","","MP数据-投放维度时间对比",""
"passed","Wed Jun 08 17:14:49 CST 2022","Wed Jun 08 17:14:49 CST 2022","515","test","test_api","","","","投手数据-代理商细分-期粒度",""
"passed","Wed Jun 08 17:14:02 CST 2022","Wed Jun 08 17:14:02 CST 2022","647","test","test_api","","","","代理商趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:55 CST 2022","Wed Jun 08 17:14:57 CST 2022","1377","test","test_api","","","","账号数据-素材细分-时间对比",""
"passed","Wed Jun 08 17:14:23 CST 2022","Wed Jun 08 17:14:26 CST 2022","2384","test","test_api","","","","素材数据-标签维度时间对比",""
"passed","Wed Jun 08 17:15:47 CST 2022","Wed Jun 08 17:15:49 CST 2022","2129","test","test_api","","","","账号数据-指标对比-期粒度",""
"passed","Wed Jun 08 17:14:21 CST 2022","Wed Jun 08 17:14:22 CST 2022","1712","test","test_api","","","","素材数据-标签维度-日粒度",""
"passed","Wed Jun 08 17:14:28 CST 2022","Wed Jun 08 17:14:28 CST 2022","93","test","test_api","","","","落地页数据-落地页维度时间对比",""
"passed","Wed Jun 08 17:15:12 CST 2022","Wed Jun 08 17:15:12 CST 2022","307","test","test_api","","","","首页-渠道获客分布",""
"passed","Wed Jun 08 17:14:28 CST 2022","Wed Jun 08 17:14:29 CST 2022","1457","test","test_api","","","","落地页数据-皮肤维度-日粒度",""
"passed","Wed Jun 08 17:15:49 CST 2022","Wed Jun 08 17:15:52 CST 2022","3305","test","test_api","","","","账号数据-指标对比-素材细分-期粒度",""
"passed","Wed Jun 08 17:14:08 CST 2022","Wed Jun 08 17:14:09 CST 2022","1294","test","test_api","","","","账号数据时间对比",""
"passed","Wed Jun 08 17:14:42 CST 2022","Wed Jun 08 17:14:43 CST 2022","1412","test","test_api","","","","渠道数据-代理商细分-期粒度",""
"passed","Wed Jun 08 17:14:45 CST 2022","Wed Jun 08 17:14:46 CST 2022","1016","test","test_api","","","","代理商数据-投手细分-时间对比",""
"passed","Wed Jun 08 17:14:13 CST 2022","Wed Jun 08 17:14:14 CST 2022","89","test","test_api","","","","计划数据时间对比",""
"passed","Wed Jun 08 17:15:27 CST 2022","Wed Jun 08 17:15:28 CST 2022","530","test","test_api","","","","落地页数据搜索",""
"passed","Wed Jun 08 17:14:12 CST 2022","Wed Jun 08 17:14:13 CST 2022","1158","test","test_api","","","","计划数据趋势对比-期粒度",""
"passed","Wed Jun 08 17:15:23 CST 2022","Wed Jun 08 17:15:23 CST 2022","347","test","test_api","","","","价格包-搜索",""
"passed","Wed Jun 08 17:13:45 CST 2022","Wed Jun 08 17:13:48 CST 2022","3425","test","test_api","","","","计划数据",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:16 CST 2022","350","test","test_api","","","","首页-等级",""
"passed","Wed Jun 08 17:15:28 CST 2022","Wed Jun 08 17:15:28 CST 2022","469","test","test_api","","","","皮肤数据-搜索",""
"passed","Wed Jun 08 17:14:33 CST 2022","Wed Jun 08 17:14:36 CST 2022","2813","test","test_api","","","","素材分析-总分维度期粒度",""
"passed","Wed Jun 08 17:14:37 CST 2022","Wed Jun 08 17:14:39 CST 2022","1501","test","test_api","","","","价格包数据-广告渠道细分-日粒度",""
"passed","Wed Jun 08 17:15:38 CST 2022","Wed Jun 08 17:15:40 CST 2022","2145","test","test_api","","","","渠道数据-指标对比-期粒度",""
"passed","Wed Jun 08 17:15:36 CST 2022","Wed Jun 08 17:15:36 CST 2022","300","test","test_api","","","","首页-人均获客趋势-投手",""
"passed","Wed Jun 08 17:14:36 CST 2022","Wed Jun 08 17:14:37 CST 2022","974","test","test_api","","","","素材分析-素材大盘期粒度",""
"passed","Wed Jun 08 17:13:40 CST 2022","Wed Jun 08 17:13:41 CST 2022","1522","test","test_api","","","","渠道数据",""
"passed","Wed Jun 08 17:15:54 CST 2022","Wed Jun 08 17:15:56 CST 2022","1957","test","test_api","","","","员工-总获客目标-85期",""
"passed","Wed Jun 08 17:15:29 CST 2022","Wed Jun 08 17:15:30 CST 2022","445","test","test_api","","","","版位维度-搜索",""
"passed","Wed Jun 08 17:15:00 CST 2022","Wed Jun 08 17:15:00 CST 2022","478","test","test_api","","","","素材数据-素材维度-广告账号细分-时间对比",""
"passed","Wed Jun 08 17:15:09 CST 2022","Wed Jun 08 17:15:11 CST 2022","1432","test","test_api","","","","落地页数据-皮肤维度-落地页细分-日粒度",""
"passed","Wed Jun 08 17:15:07 CST 2022","Wed Jun 08 17:15:09 CST 2022","2281","test","test_api","","","","素材数据-标签维度-素材标签-时间对比",""
"passed","Wed Jun 08 17:14:32 CST 2022","Wed Jun 08 17:14:32 CST 2022","135","test","test_api","","","","派单买A数据-派单-日粒度",""
"passed","Wed Jun 08 17:14:43 CST 2022","Wed Jun 08 17:14:44 CST 2022","538","test","test_api","","","","渠道数据-代理商细分-时间对比",""
"passed","Wed Jun 08 17:14:44 CST 2022","Wed Jun 08 17:14:45 CST 2022","573","test","test_api","","","","代理商数据-投手细分-期粒度",""
"passed","Wed Jun 08 17:14:09 CST 2022","Wed Jun 08 17:14:12 CST 2022","3219","test","test_api","","","","计划数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:14:22 CST 2022","Wed Jun 08 17:14:23 CST 2022","964","test","test_api","","","","素材数据-标签维度-期粒度",""
"passed","Wed Jun 08 17:15:05 CST 2022","Wed Jun 08 17:15:06 CST 2022","1625","test","test_api","","","","素材数据-标签维度-素材标签-日粒度",""
"passed","Wed Jun 08 17:14:46 CST 2022","Wed Jun 08 17:14:47 CST 2022","1182","test","test_api","","","","代理商数据-广告账号细分-期粒度",""
"passed","Wed Jun 08 17:14:16 CST 2022","Wed Jun 08 17:14:18 CST 2022","1679","test","test_api","","","","素材数据-素材维度-日粒度",""
"passed","Wed Jun 08 17:14:47 CST 2022","Wed Jun 08 17:14:48 CST 2022","1174","test","test_api","","","","代理商数据-广告账号细分-时间对比",""
"passed","Wed Jun 08 17:15:36 CST 2022","Wed Jun 08 17:15:38 CST 2022","1671","test","test_api","","","","渠道数据-指标对比-日粒度",""
"passed","Wed Jun 08 17:13:57 CST 2022","Wed Jun 08 17:13:59 CST 2022","1337","test","test_api","","","","价格包时间对比",""
"passed","Wed Jun 08 17:15:40 CST 2022","Wed Jun 08 17:15:43 CST 2022","2988","test","test_api","","","","渠道数据-指标对比-代理商细分-期粒度",""
"passed","Wed Jun 08 17:15:30 CST 2022","Wed Jun 08 17:15:30 CST 2022","242","test","test_api","","","","派单搜索",""
"passed","Wed Jun 08 17:13:59 CST 2022","Wed Jun 08 17:14:00 CST 2022","1391","test","test_api","","","","渠道趋势对比-日粒度",""
"passed","Wed Jun 08 17:14:16 CST 2022","Wed Jun 08 17:14:16 CST 2022","234","test","test_api","","","","商品数据时间对比",""
"passed","Wed Jun 08 17:14:07 CST 2022","Wed Jun 08 17:14:08 CST 2022","686","test","test_api","","","","账号数据趋势对比-期粒度",""
"passed","Wed Jun 08 17:15:11 CST 2022","Wed Jun 08 17:15:12 CST 2022","672","test","test_api","","","","落地页数据-皮肤维度-落地页细分-期粒度",""
"passed","Wed Jun 08 17:15:30 CST 2022","Wed Jun 08 17:15:30 CST 2022","428","test","test_api","","","","等级维度-搜索",""
"passed","Wed Jun 08 17:14:02 CST 2022","Wed Jun 08 17:14:03 CST 2022","1070","test","test_api","","","","代理商时间对比",""
"passed","Wed Jun 08 17:14:48 CST 2022","Wed Jun 08 17:14:49 CST 2022","468","test","test_api","","","","投手数据-代理商细分-日粒度",""
"passed","Wed Jun 08 17:15:25 CST 2022","Wed Jun 08 17:15:26 CST 2022","819","test","test_api","","","","素材数据-搜索",""
"passed","Wed Jun 08 17:15:24 CST 2022","Wed Jun 08 17:15:25 CST 2022","536","test","test_api","","","","投手数据搜索",""
"passed","Wed Jun 08 17:14:51 CST 2022","Wed Jun 08 17:14:52 CST 2022","1103","test","test_api","","","","投手数据-广告账号细分-时间对比",""
"passed","Wed Jun 08 17:15:03 CST 2022","Wed Jun 08 17:15:05 CST 2022","1500","test","test_api","","","","素材数据-素材维度-价格包细分-时间对比",""
"passed","Wed Jun 08 17:15:34 CST 2022","Wed Jun 08 17:15:34 CST 2022","171","test","test_api","","","","首页-渠道获客分布-投手",""
"passed","Wed Jun 08 17:14:46 CST 2022","Wed Jun 08 17:14:46 CST 2022","306","test","test_api","","","","代理商数据-广告账号细分-日粒度",""
"passed","Wed Jun 08 17:14:26 CST 2022","Wed Jun 08 17:14:27 CST 2022","1549","test","test_api","","","","落地页数据-落地页维度-日粒度",""
"passed","Wed Jun 08 17:14:31 CST 2022","Wed Jun 08 17:14:32 CST 2022","632","test","test_api","","","","MP数据-投放维度-期粒度",""
"passed","Wed Jun 08 17:15:43 CST 2022","Wed Jun 08 17:15:45 CST 2022","1795","test","test_api","","","","渠道数据-指标对比-代理商细分-日粒度",""
"passed","Wed Jun 08 17:14:29 CST 2022","Wed Jun 08 17:14:30 CST 2022","614","test","test_api","","","","落地页数据-皮肤维度-期粒度",""
"passed","Wed Jun 08 17:15:12 CST 2022","Wed Jun 08 17:15:12 CST 2022","256","test","test_api","","","","首页-看板",""
"passed","Wed Jun 08 17:14:33 CST 2022","Wed Jun 08 17:14:33 CST 2022","885","test","test_api","","","","素材分析-素材大盘期粒度",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:15 CST 2022","249","test","test_api","","","","首页-版位",""
"passed","Wed Jun 08 17:13:44 CST 2022","Wed Jun 08 17:13:45 CST 2022","829","test","test_api","","","","账号数据",""
"passed","Wed Jun 08 17:14:40 CST 2022","Wed Jun 08 17:14:42 CST 2022","1678","test","test_api","","","","渠道数据-代理商细分-日粒度",""
"passed","Wed Jun 08 17:13:39 CST 2022","Wed Jun 08 17:13:40 CST 2022","467","test","test_api","","","","价格包数据",""
"passed","Wed Jun 08 17:15:36 CST 2022","Wed Jun 08 17:15:36 CST 2022","217","test","test_api","","","","首页-人均获客成本-投手",""
"passed","Wed Jun 08 17:14:06 CST 2022","Wed Jun 08 17:14:07 CST 2022","1548","test","test_api","","","","账号数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:34 CST 2022","Wed Jun 08 17:15:36 CST 2022","1387","test","test_api","","","","首页-计划监控-投手",""
"passed","Wed Jun 08 17:15:12 CST 2022","Wed Jun 08 17:15:14 CST 2022","1359","test","test_api","","","","首页-计划监控",""
"failed","Wed Jun 08 17:13:53 CST 2022","Wed Jun 08 17:13:53 CST 2022","191","test","test_api","","","","MP数据",""
"passed","Wed Jun 08 17:15:25 CST 2022","Wed Jun 08 17:15:25 CST 2022","547","test","test_api","","","","账号数据搜索",""
"passed","Wed Jun 08 17:14:27 CST 2022","Wed Jun 08 17:14:28 CST 2022","614","test","test_api","","","","落地页数据-落地页维度-期粒度",""
"passed","Wed Jun 08 17:15:34 CST 2022","Wed Jun 08 17:15:34 CST 2022","448","test","test_api","","","","首页-看板-投手",""
"passed","Wed Jun 08 17:14:18 CST 2022","Wed Jun 08 17:14:18 CST 2022","896","test","test_api","","","","素材数据-素材维度-期粒度",""
"passed","Wed Jun 08 17:13:53 CST 2022","Wed Jun 08 17:13:55 CST 2022","2457","test","test_api","","","","素材分析",""
"passed","Wed Jun 08 17:15:29 CST 2022","Wed Jun 08 17:15:29 CST 2022","267","test","test_api","","","","入口维度-搜索",""
"passed","Wed Jun 08 17:14:59 CST 2022","Wed Jun 08 17:15:00 CST 2022","995","test","test_api","","","","素材数据-素材维度-广告账号细分-期粒度",""
"passed","Wed Jun 08 17:15:28 CST 2022","Wed Jun 08 17:15:29 CST 2022","216","test","test_api","","","","投放维度-搜索",""
"failed","Wed Jun 08 17:13:48 CST 2022","Wed Jun 08 17:13:50 CST 2022","1454","test","test_api","","","","商品数据",""
"passed","Wed Jun 08 17:15:24 CST 2022","Wed Jun 08 17:15:24 CST 2022","504","test","test_api","","","","代理商数据搜索",""
"passed","Wed Jun 08 17:15:02 CST 2022","Wed Jun 08 17:15:03 CST 2022","1019","test","test_api","","","","素材数据-素材维度-价格包细分-期粒度",""
"failed","Wed Jun 08 17:13:41 CST 2022","Wed Jun 08 17:13:42 CST 2022","565","test","test_api","","","","代理商数据",""
"passed","Wed Jun 08 17:14:30 CST 2022","Wed Jun 08 17:14:30 CST 2022","360","test","test_api","","","","落地页数据-皮肤维度时间对比",""
"passed","Wed Jun 08 17:15:56 CST 2022","Wed Jun 08 17:15:58 CST 2022","2107","test","test_api","","","","员工-投手获客目标-85期",""
"passed","Wed Jun 08 17:14:01 CST 2022","Wed Jun 08 17:14:01 CST 2022","548","test","test_api","","","","渠道时间对比",""
"passed","Wed Jun 08 17:15:00 CST 2022","Wed Jun 08 17:15:02 CST 2022","1988","test","test_api","","","","素材数据-素材维度-价格包细分-日粒度",""
"passed","Wed Jun 08 17:15:12 CST 2022","Wed Jun 08 17:15:12 CST 2022","107","test","test_api","","","","落地页数据-皮肤维度-落地页细分-时间对比",""
"passed","Wed Jun 08 17:14:49 CST 2022","Wed Jun 08 17:14:50 CST 2022","1145","test","test_api","","","","投手数据-代理商细分-时间对比",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:15 CST 2022","321","test","test_api","","","","首页-人均获客成本",""
"passed","Wed Jun 08 17:14:30 CST 2022","Wed Jun 08 17:14:31 CST 2022","527","test","test_api","","","","MP数据-投放维度-日粒度",""
"passed","Wed Jun 08 17:14:32 CST 2022","Wed Jun 08 17:14:33 CST 2022","122","test","test_api","","","","派单买A数据-派单时间对比",""
"passed","Wed Jun 08 17:14:57 CST 2022","Wed Jun 08 17:14:59 CST 2022","1713","test","test_api","","","","素材数据-素材维度-广告账号细分-日粒度",""
"passed","Wed Jun 08 17:14:18 CST 2022","Wed Jun 08 17:14:21 CST 2022","2222","test","test_api","","","","素材数据-素材维度时间对比",""
"passed","Wed Jun 08 17:13:50 CST 2022","Wed Jun 08 17:13:51 CST 2022","1562","test","test_api","","","","素材数据",""
"passed","Wed Jun 08 17:14:39 CST 2022","Wed Jun 08 17:14:39 CST 2022","651","test","test_api","","","","价格包数据-广告渠道细分-期粒度",""
"passed","Wed Jun 08 17:14:03 CST 2022","Wed Jun 08 17:14:04 CST 2022","470","test","test_api","","","","投手数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:13:55 CST 2022","Wed Jun 08 17:13:57 CST 2022","1375","test","test_api","","","","价格包趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:26 CST 2022","Wed Jun 08 17:15:27 CST 2022","972","test","test_api","","","","标签数据搜索",""
"passed","Wed Jun 08 17:15:32 CST 2022","Wed Jun 08 17:15:33 CST 2022","694","test","test_api","","","","总分维度-搜索",""
"passed","Wed Jun 08 17:14:14 CST 2022","Wed Jun 08 17:14:15 CST 2022","1435","test","test_api","","","","商品数据趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:30 CST 2022","Wed Jun 08 17:15:31 CST 2022","265","test","test_api","","","","买A搜索",""
"passed","Wed Jun 08 17:15:20 CST 2022","Wed Jun 08 17:15:22 CST 2022","2279","test","test_api","","","","员工-投手获客目标",""
"passed","Wed Jun 08 17:14:01 CST 2022","Wed Jun 08 17:14:02 CST 2022","292","test","test_api","","","","代理商趋势对比-日粒度",""
"passed","Wed Jun 08 17:15:25 CST 2022","Wed Jun 08 17:15:25 CST 2022","52","test","test_api","","","","计划数据搜索",""
"passed","Wed Jun 08 17:14:54 CST 2022","Wed Jun 08 17:14:55 CST 2022","998","test","test_api","","","","账号数据-素材细分-期粒度",""
"passed","Wed Jun 08 17:15:06 CST 2022","Wed Jun 08 17:15:07 CST 2022","979","test","test_api","","","","素材数据-标签维度-素材标签-期粒度",""
"passed","Wed Jun 08 17:15:16 CST 2022","Wed Jun 08 17:15:18 CST 2022","2147","test","test_api","","","","员工-总获客目标",""
"passed","Wed Jun 08 17:15:29 CST 2022","Wed Jun 08 17:15:29 CST 2022","478","test","test_api","","","","回本策略维度-搜索",""
"passed","Wed Jun 08 17:14:44 CST 2022","Wed Jun 08 17:14:44 CST 2022","458","test","test_api","","","","代理商数据-投手细分-日粒度",""
"passed","Wed Jun 08 17:15:15 CST 2022","Wed Jun 08 17:15:15 CST 2022","350","test","test_api","","","","首页-人均获客趋势",""
"passed","Wed Jun 08 17:13:57 CST 2022","Wed Jun 08 17:13:57 CST 2022","549","test","test_api","","","","价格包趋势对比-期粒度",""
"passed","Wed Jun 08 17:14:53 CST 2022","Wed Jun 08 17:14:54 CST 2022","1994","test","test_api","","","","账号数据-素材细分-日粒度",""
"passed","Wed Jun 08 17:14:51 CST 2022","Wed Jun 08 17:14:51 CST 2022","561","test","test_api","","","","投手数据-广告账号细分-期粒度",""
"passed","Wed Jun 08 17:14:50 CST 2022","Wed Jun 08 17:14:51 CST 2022","468","test","test_api","","","","投手数据-广告账号细分-日粒度",""
"passed","Wed Jun 08 17:15:20 CST 2022","Wed Jun 08 17:15:20 CST 2022","124","test","test_api","","","","员工-总获客目标修改",""
"passed","Wed Jun 08 17:15:22 CST 2022","Wed Jun 08 17:15:23 CST 2022","523","test","test_api","","","","员工-投手获客目标查询",""
